sat_i,sat_j,min_dist_km
210,319,0.793595
26,1500,0.793646
1229,1338,0.793701
435,544,0.793704
936,1045,0.793727
142,251,0.793731
706,815,0.793758
643,752,0.793769
1437,1546,0.793799
1432,1541,0.793815
648,757,0.793841
1004,1113,0.793848
147,256,0.793856
1442,1551,0.793872
653,762,0.793916
418,549,0.793944
372,481,0.793949
711,820,0.793953
929,1038,0.793964
1144,1275,0.793965
140,249,0.793991
941,1050,0.794000
438,547,0.794006
1161,1270,0.794012
931,1040,0.794027
135,244,0.794034
714,823,0.794040
1447,1556,0.794040
355,464,0.794045
638,769,0.794047
990,1121,0.794070
152,261,0.794090
1227,1336,0.794095
924,1055,0.794096
1288,1397,0.794099
90,1564,0.794148
1224,1333,0.794164
59,168,0.794185
1344,1453,0.794204
367,476,0.794213
1149,1258,0.794219
29,1503,0.794236
1210,1341,0.794247
115,224,0.794250
934,1043,0.794262
279,388,0.794265
1212,1321,0.794267
4,1478,0.794273
1422,1531,0.794275
1068,1177,0.794283
34,1508,0.794290
486,595,0.794304
335,444,0.794314
433,542,0.794328
1258,1367,0.794339
218,327,0.794341
658,767,0.794353
770,901,0.794356
494,603,0.794381
201,310,0.794396
82,1556,0.794407
1336,1445,0.794408
1038,1147,0.794415
1116,1225,0.794431
193,302,0.794439
868,977,0.794454
31,1505,0.794461
1301,1410,0.794466
79,188,0.794466
1202,1311,0.794468
47,1521,0.794469
1124,1233,0.794474
818,927,0.794476
896,1005,0.794477
215,324,0.794482
158,267,0.794494
598,707,0.794510
378,487,0.794513
555,664,0.794518
1081,1190,0.794523
413,522,0.794526
145,254,0.794534
423,532,0.794547
676,785,0.794553
360,469,0.794560
1222,1331,0.794565
365,474,0.794576
74,183,0.794589
499,608,0.794592
1449,1558,0.794617
873,982,0.794618
1417,1526,0.794625
1156,1265,0.794653
709,818,0.794658
456,565,0.794680
701,810,0.794684
1326,1435,0.794689
861,970,0.794689
633,742,0.794699
1217,1326,0.794706
982,1091,0.794708
428,537,0.794709
610,719,0.794716
585,694,0.794721
54,163,0.794724
550,681,0.794726
848,957,0.794739
481,590,0.794744
1455,1564,0.794797
1364,1495,0.794814
137,246,0.794817
519,628,0.794828
41,1515,0.794830
777,886,0.794849
72,1546,0.794863
1235,1344,0.794871
61,170,0.794872
904,1013,0.794878
236,345,0.794889
906,1015,0.794905
739,848,0.794908
805,914,0.794911
1197,1306,0.794912
863,972,0.794924
775,884,0.794929
84,193,0.794946
1007,1116,0.794947
762,871,0.794948
190,299,0.794953
390,499,0.794958
61,1535,0.794969
716,825,0.794998
668,777,0.794998
853,962,0.794999
797,906,0.795001
1430,1561,0.795009
99,1573,0.795012
641,750,0.795022
1,110,0.795028
1035,1144,0.795029
1297,1406,0.795033
421,530,0.795046
921,1030,0.795047
1406,1515,0.795065
192,301,0.795084
430,539,0.795089
249,358,0.795099
1025,1134,0.795100
274,383,0.795106
1106,1215,0.795109
81,190,0.795125
830,939,0.795125
24,1498,0.795125
559,668,0.795127
1386,1517,0.795133
29,138,0.795134
469,578,0.795136
1283,1392,0.795143
539,648,0.795147
319,428,0.795147
542,651,0.795152
908,1017,0.795153
1154,1263,0.795184
1019,1128,0.795199
670,779,0.795200
303,412,0.795207
107,1581,0.795216
16,125,0.795218
1255,1364,0.795226
330,461,0.795230
652,761,0.795240
5,1479,0.795242
1392,1501,0.795244
285,394,0.795246
23,1497,0.795247
1037,1146,0.795250
719,828,0.795252
689,798,0.795254
1245,1354,0.795254
1146,1255,0.795255
1009,1118,0.795273
1280,1389,0.795283
1112,1221,0.795285
410,519,0.795290
322,431,0.795295
997,1106,0.795300
1094,1203,0.795318
1186,1295,0.795326
1126,1235,0.795327
1461,1570,0.795330
281,390,0.795331
1130,1239,0.795333
1465,1574,0.795346
684,793,0.795347
261,370,0.795347
575,684,0.795350
541,650,0.795356
102,211,0.795362
1425,1534,0.795372
926,1035,0.795373
1443,1552,0.795374
628,737,0.795376
1076,1185,0.795388
63,172,0.795409
1426,1535,0.795414
173,282,0.795420
36,1510,0.795433
92,201,0.795437
1172,1281,0.795440
1407,1516,0.795455
245,354,0.795459
745,854,0.795465
522,631,0.795469
909,1018,0.795472
1073,1182,0.795479
362,471,0.795479
191,300,0.795489
301,410,0.795495
183,292,0.795501
704,835,0.795505
592,701,0.795505
763,872,0.795506
77,1551,0.795512
878,987,0.795529
317,426,0.795542
174,283,0.795547
69,178,0.795554
705,814,0.795559
871,980,0.795585
666,775,0.795586
448,557,0.795588
1036,1145,0.795589
504,613,0.795592
1369,1478,0.795597
634,743,0.795599
209,318,0.795611
227,336,0.795613
63,1537,0.795618
995,1104,0.795619
1015,1124,0.795637
1148,1257,0.795637
1295,1404,0.795640
1368,1477,0.795665
213,322,0.795673
1001,1110,0.795681
721,830,0.795683
299,408,0.795693
977,1086,0.795698
321,430,0.795707
133,242,0.795709
847,956,0.795709
1196,1305,0.795714
557,666,0.795715
1379,1488,0.795719
1141,1250,0.795720
540,649,0.795721
655,764,0.795721
498,607,0.795723
952,1061,0.795743
71,1545,0.795745
149,258,0.795747
1220,1329,0.795754
781,890,0.795762
959,1068,0.795771
1383,1492,0.795776
1017,1126,0.795778
501,610,0.795782
108,1582,0.795791
67,176,0.795803
1012,1143,0.795804
779,888,0.795805
311,420,0.795812
1257,1366,0.795814
850,959,0.795815
1129,1238,0.795820
