obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
25,15276,0.124133,6.218582e-04,0.0682,sat-debris,262960.069451,25
28,13746,0.211274,4.535031e-04,0.0681,sat-debris,358795.652994,28
77,9244,0.268336,2.475831e-04,0.2000,sat-debris,320105.538944,77
6,5164,0.643927,1.919793e-04,0.2425,sat-debris,261430.273609,6
55,6465,0.585419,1.749298e-04,0.1857,sat-debris,135325.674230,55
84,5167,1.069696,7.930702e-05,0.1056,sat-debris,59419.949488,84
7,4287,0.353656,6.693115e-05,0.1423,sat-debris,69489.277048,7
0,4940,0.615477,6.417381e-05,0.1422,sat-debris,253380.933254,0
44,4287,1.111308,4.478808e-05,0.2193,sat-debris,353704.138149,44
67,5167,0.483960,4.187704e-05,0.0499,sat-debris,339224.755950,67
73,13954,0.763167,2.914052e-05,0.1702,sat-debris,213585.231262,73
36,15971,1.254112,2.861732e-05,0.0521,sat-debris,126859.578761,36
45,15413,2.108344,1.924876e-05,0.2924,sat-debris,116379.239209,45
23,663,0.551222,1.429215e-05,0.0629,sat-debris,34389.080916,23
38,6084,1.322767,8.137394e-06,0.0823,sat-debris,180339.446066,38
70,6689,0.582338,4.945864e-06,0.0783,sat-debris,174295.033119,70
22,3566,2.408703,4.837781e-06,0.1520,sat-debris,390104.310743,22
67,2468,1.420298,2.575570e-06,0.0655,sat-debris,10119.748415,67
3,4817,2.211057,2.113882e-06,0.0165,sat-debris,85304.965238,3
92,6932,1.256512,1.658006e-06,0.0135,sat-debris,251849.843564,92
41,4622,2.822343,1.499475e-06,0.0020,sat-debris,392446.135037,41
26,16118,1.367609,1.347245e-06,0.0555,sat-debris,319184.574195,26
89,550,1.840460,1.298857e-06,0.0980,sat-debris,51713.765927,89
54,3478,1.225339,1.233430e-06,0.0121,sat-debris,328084.565481,54
33,4633,2.466428,1.040279e-06,0.0200,sat-debris,155843.427279,33
94,12076,3.085469,4.926783e-07,0.0000,sat-debris,380065.626710,94
48,8904,1.517657,4.515926e-07,0.0000,sat-debris,166080.637588,48
56,14832,2.140070,3.270895e-07,0.0000,sat-debris,246415.359962,56
77,2468,0.978912,2.741305e-07,0.0000,sat-debris,244400.028480,77
36,15975,1.000453,2.183442e-07,0.0000,sat-debris,350379.356589,36
85,3685,3.474369,9.817141e-08,0.0000,sat-debris,3953.514821,85
79,1246,1.104010,7.744438e-08,0.0000,sat-debris,204310.328475,79
81,3921,1.714543,5.654847e-08,0.0000,sat-debris,365430.333758,81
45,15975,1.590510,5.146686e-08,0.0000,sat-debris,235899.664859,45
17,1917,1.826080,4.173447e-08,0.0000,sat-debris,16749.231734,17
53,248,1.561328,4.074632e-08,0.0000,sat-debris,252565.463027,53
79,9140,2.503361,2.160391e-08,0.0000,sat-debris,375486.208660,79
80,3980,3.738994,1.986030e-08,0.0000,sat-debris,389880.163905,80
50,1941,2.007201,1.467491e-08,0.0000,sat-debris,371123.767601,50
82,326,2.195825,1.391304e-08,0.0000,sat-debris,326029.685396,82
85,12076,3.781063,1.282746e-08,0.0000,sat-debris,425549.501432,85
60,2324,4.383571,7.599332e-09,0.0000,sat-debris,237114.745876,60
71,4517,1.683962,7.388751e-09,0.0000,sat-debris,400474.971931,71
36,15970,2.385824,6.741955e-09,0.0000,sat-debris,58089.995472,36
57,2216,2.473105,4.385777e-09,0.0000,sat-debris,311799.412451,57
18,1097,3.646522,4.098813e-09,0.0000,sat-debris,253260.725510,18
15,12176,1.607703,2.787441e-09,0.0000,sat-debris,340835.358688,15
38,3567,3.796363,2.176231e-09,0.0000,sat-debris,100039.778169,38
96,15340,1.776682,1.222226e-09,0.0000,sat-debris,307763.858308,96
83,12852,3.841719,1.221046e-09,0.0000,sat-debris,260605.926147,83
87,5247,2.118068,1.026505e-09,0.0000,sat-debris,147050.950879,87
15,15674,3.986753,9.672025e-10,0.0000,sat-debris,264135.074527,15
42,5164,2.951189,8.771492e-10,0.0000,sat-debris,193710.223909,42
67,4953,1.482319,6.438778e-10,0.0000,sat-debris,192644.644475,67
45,13954,4.993377,5.928725e-10,0.0000,sat-debris,7375.171117,45
62,789,2.917816,3.227046e-10,0.0000,sat-debris,417829.698769,62
87,4257,1.172036,1.172929e-10,0.0000,sat-debris,376375.762544,87
90,3478,1.180235,4.900307e-11,0.0000,sat-debris,19780.014762,90
54,2309,5.271916,4.586914e-11,0.0000,sat-debris,255675.206006,54
6,3606,3.791712,3.837657e-11,0.0000,sat-debris,395674.641730,6
48,3485,1.856838,3.642410e-11,0.0000,sat-debris,8100.427777,48
40,4383,1.162998,3.468550e-11,0.0000,sat-debris,21248.808257,40
33,6689,1.508476,3.411929e-11,0.0000,sat-debris,249295.093267,33
42,13952,4.158190,2.802566e-11,0.0000,sat-debris,301163.474306,42
64,13123,4.080318,2.273350e-11,0.0000,sat-debris,216920.550362,64
42,3573,1.179896,2.003446e-11,0.0000,sat-debris,209224.845004,42
84,2344,2.043570,1.698359e-11,0.0000,sat-debris,93265.278229,84
75,1861,1.805838,1.587283e-11,0.0000,sat-debris,360719.770223,75
6,10658,3.949620,1.474438e-11,0.0000,sat-debris,305575.131276,6
36,15972,3.204584,6.030398e-12,0.0000,sat-debris,212825.073558,36
2,3485,1.967836,4.678820e-12,0.0000,sat-debris,224725.080350,2
71,7743,2.456754,3.123048e-12,0.0000,sat-debris,355070.623534,71
61,15276,3.695710,2.403266e-12,0.0000,sat-debris,136884.948043,61
88,1268,2.360010,1.761323e-12,0.0000,sat-debris,206660.042142,88
72,5043,3.213052,9.558755e-13,0.0000,sat-debris,198689.682974,72
