time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
517710,294,520640.32,403,0.040699,0.797304,0.756605
317040,97,319635.02,206,0.050464,0.799244,0.748780
1051260,862,1053960.47,971,0.144265,0.795943,0.651678
185610,1503,190804.67,29,0.203826,0.794236,0.590410
1920540,295,1928915.19,404,0.219835,0.798666,0.578831
63450,367,66960.03,476,0.224865,0.794213,0.569348
247290,13,254015.60,122,0.277445,0.801364,0.523919
1205550,1325,1211235.41,1434,0.305271,0.796524,0.491253
2226060,815,2234465.27,924,0.314159,0.796618,0.482459
772800,414,780694.39,523,0.339012,0.796020,0.457008
1191240,1292,1193859.84,1401,0.341555,0.796614,0.455059
2576010,285,2581379.66,394,0.342014,0.795246,0.453232
922860,1267,924945.34,1376,0.387793,0.811422,0.423629
1093590,1491,1102104.73,17,0.392145,0.796830,0.404685
319260,836,322159.54,967,0.407817,0.796599,0.388782
933240,1469,937194.36,1578,0.411793,0.802405,0.390612
1422720,909,1422755.30,1018,0.460615,0.795472,0.334857
2408040,688,2410019.59,797,0.474984,0.795941,0.320957
2225460,1301,2230935.03,1410,0.479053,0.794466,0.315413
528900,317,537915.11,426,0.479079,0.795542,0.316463
180060,425,180399.33,534,0.479730,0.805372,0.325642
1922850,484,1926152.55,615,0.495887,0.797990,0.302103
2070,31,5230.76,140,0.499158,0.833413,0.334255
1030200,723,1033195.06,832,0.500525,0.804109,0.303584
178650,1090,187275.39,1199,0.501675,0.797533,0.295858
2454090,841,2458740.31,950,0.504408,0.796976,0.292568
653670,1421,654580.12,1530,0.506868,0.796999,0.290131
1760010,1373,1767491.49,1482,0.508500,0.829019,0.320519
1041690,503,1043004.74,612,0.509177,0.796045,0.286868
947460,469,950019.36,578,0.511994,0.795136,0.283142
551580,120,554676.05,229,0.523859,0.799047,0.275188
1097520,1322,1104358.65,1431,0.527071,0.796396,0.269325
104970,1153,109939.59,1262,0.540924,0.803582,0.262658
2002560,156,2010630.05,265,0.565341,0.834469,0.269128
1982010,81,1982214.49,190,0.581819,0.795125,0.213306
2017380,275,2021854.65,384,0.590732,0.803136,0.212404
