cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
0,1999060.15,0.3525,1,1,5.111375,0.347584,0.347584
1,2179233.71,0.1035,1,1,3.946784,1.512398,1.512398
5,2453904.70,0.1169,1,1,4.833872,0.624528,0.624528
5,2518010.13,0.0868,1,1,18.453538,0.290654,0.290654
14,1434174.15,0.3304,1,1,5.393705,0.064540,0.064540
15,1821003.85,0.2337,2,2,17.365976,970.348495,485.870117
18,461605.09,0.0642,1,1,5.394048,0.064156,0.064156
20,1482424.79,0.2752,2,1,3.324532,2.133947,1.382610
22,2348234.62,0.1754,2,2,18.689035,969.330042,484.692466
24,545963.56,0.3668,3,3,16.844471,971.380794,324.455445
25,43899.16,0.0943,1,1,4.717123,0.741252,0.741252
26,1109060.14,0.0712,1,1,4.281843,1.176462,1.176462
35,1514334.42,0.0382,1,1,23.263530,0.285191,0.285191
36,2175880.71,0.0187,1,1,5.376925,0.082604,0.082604
37,1194790.34,0.0882,2,1,4.837108,0.623782,0.317629
38,1875479.00,0.0722,1,1,23.517257,0.028905,0.028905
40,1112919.77,0.2350,1,1,1.602775,3.855513,3.855513
40,1791119.78,0.0411,1,1,23.233326,0.319956,0.319956
41,2238559.82,0.0309,1,1,5.369319,0.089162,0.089162
43,1390129.13,0.0621,1,1,18.688428,0.070589,0.070589
46,1711949.92,0.3690,2,2,4.341240,969.408779,485.263205
53,517984.34,0.1651,2,2,23.183035,969.268348,484.818814
55,2359455.13,0.0699,1,1,22.736915,0.811714,0.811714
58,952319.04,0.1063,1,1,4.075452,1.382740,1.382740
63,2243930.51,0.1430,2,2,22.553810,969.526056,485.260192
64,928579.51,0.2707,2,2,21.449881,970.243416,486.171067
66,2485190.85,0.0601,1,1,4.609354,0.849287,0.849287
68,2187635.17,0.1184,1,1,4.940900,0.518803,0.518803
69,1930509.75,0.2518,2,2,20.988783,969.532107,486.048532
80,952006.20,0.2068,1,1,4.565421,0.892674,0.892674
81,1508744.89,0.0755,1,1,4.635083,0.824221,0.824221
81,2022124.96,0.1661,1,1,22.162513,1.390623,1.390623
85,117915.70,0.0319,1,1,5.133090,0.325374,0.325374
87,198890.39,0.0020,1,1,5.436808,0.023238,0.023238
91,2203119.18,0.0259,1,1,18.666087,0.087676,0.087676
93,1004745.06,0.2236,1,1,4.693381,0.765158,0.765158
94,2390510.06,0.1034,1,1,4.287952,1.170737,1.170737
95,131278.36,0.1535,2,1,3.907717,1.550601,1.144441
96,603884.46,0.1438,1,1,18.315431,0.450477,0.450477
96,1869305.07,0.0780,1,1,5.222859,0.235296,0.235296
96,2427448.66,0.0976,1,1,22.762155,0.786081,0.786081
98,1506151.25,0.2191,2,1,3.952550,1.505616,1.017582
98,2234889.97,0.1064,1,1,23.056830,0.491495,0.491495
99,530351.17,0.2122,1,1,22.299472,1.247961,1.247961
99,1136020.05,0.0952,1,1,5.367398,0.091523,0.091523
99,2193711.58,0.3045,3,3,18.507367,971.315078,323.945750
99,2343585.42,0.1799,2,1,3.916951,1.541970,0.894791
100,1712193.23,0.1278,1,1,18.596363,0.148021,0.148021
101,281540.00,0.1802,2,2,18.126676,969.117793,484.868139
102,350710.16,0.0494,1,1,18.662701,0.083876,0.083876
102,1396889.11,0.1221,1,1,22.247875,1.298949,1.298949
103,1249704.75,0.1838,2,2,22.815968,969.579588,485.156147
104,758989.41,0.1860,1,1,21.872181,1.673974,1.673974
104,1472605.14,0.2733,2,1,4.234391,1.223757,0.630480
105,258594.19,0.1541,1,1,3.842658,1.617113,1.617113
105,1323420.30,0.0761,1,1,22.675874,0.872940,0.872940
106,2155774.61,0.0511,1,1,4.984589,0.476741,0.476741
108,1850929.58,0.1098,1,1,4.648810,0.809244,0.809244
108,2415930.16,0.0773,2,2,0.312217,0.709858,0.546326
110,2216840.61,0.3198,2,2,16.062221,970.995683,486.840335
116,1352430.94,0.0502,1,1,23.079207,0.470211,0.470211
116,1578269.84,0.1440,1,1,29.966102,969.033898,969.033898
116,1729430.62,0.1216,1,1,4.470170,0.987920,0.987920
118,2260645.66,0.1710,2,2,17.771137,969.504186,485.256501
120,1384359.99,0.0975,1,1,4.331970,1.126994,1.126994
122,1360455.14,0.2419,2,1,4.101043,1.357238,0.686762
128,2500153.43,0.2978,1,1,3.966988,1.493149,1.493149
136,814424.32,0.0680,1,1,5.087986,0.370567,0.370567
136,1083125.03,0.0538,1,1,5.059277,0.399276,0.399276
139,1243655.29,0.0610,1,1,23.432371,0.115987,0.115987
140,192534.38,0.0256,1,1,5.211181,0.248602,0.248602
140,1204925.90,0.2595,2,2,21.382761,969.613784,485.891648
150,98250.25,0.0148,1,1,5.452664,0.005446,0.005446
152,2296680.70,0.1302,1,1,23.426304,0.120848,0.120848
157,457590.35,0.0511,1,1,5.252804,0.205298,0.205298
160,1825303.56,0.2669,1,1,2.381388,3.077446,3.077446
162,1846411.80,0.1334,1,1,3.453080,2.005218,2.005218
165,1165829.76,0.1824,1,1,3.249559,2.209462,2.209462
169,2160294.63,0.1661,1,1,4.333255,1.125094,1.125094
169,2224331.03,0.0480,1,1,18.431026,0.366593,0.366593
170,2005626.08,0.0314,1,1,5.411719,0.046348,0.046348
172,552404.49,0.1305,1,1,18.462881,0.306242,0.306242
173,1097323.52,0.2922,1,1,4.415534,1.042923,1.042923
173,2274095.10,0.0393,1,1,23.351963,0.196407,0.196407
174,736221.95,0.0702,1,1,22.839081,0.708259,0.708259
174,1445645.47,0.1820,1,1,3.166498,2.291636,2.291636
174,2443520.22,0.1434,1,1,5.210120,0.248014,0.248014
176,143699.76,0.1225,2,2,5.309256,0.661354,0.405113
177,1663579.27,0.0651,1,1,18.488802,0.259181,0.259181
177,2207635.51,0.0712,1,1,5.350748,0.107726,0.107726
184,1790681.09,0.0392,1,1,5.159473,0.299409,0.299409
187,1008715.58,0.2980,3,3,5.447150,969.282501,324.194521
187,2501738.48,0.1503,2,2,22.892746,969.517415,485.093109
198,2028305.31,0.0758,1,1,5.404153,0.053905,0.053905
199,2537147.81,0.2902,1,1,20.752318,2.796330,2.796330
200,2277700.18,0.2499,2,2,22.619915,970.452254,485.694737
201,1077445.71,0.0781,1,1,23.519562,0.029526,0.029526
207,421484.55,0.1014,1,1,22.359005,1.189616,1.189616
210,2440690.86,0.1665,2,1,4.246909,1.211895,1.023265
213,1210394.62,0.0995,1,1,4.512471,0.946207,0.946207
215,2392660.05,0.2565,1,1,3.092849,2.365317,2.365317
216,1925494.96,0.0658,1,1,23.467335,0.084608,0.084608
217,1427685.25,0.0995,2,1,5.013455,0.445705,0.262614
219,400955.56,0.1814,2,2,4.841634,1.174971,0.895737
223,1518480.54,0.1999,2,2,18.083528,969.298645,484.983495
223,1830880.33,0.0580,2,1,5.270109,0.187937,0.144620
224,1421424.97,0.1540,1,1,18.268882,0.491208,0.491208
226,1651733.50,0.2144,1,1,4.205530,1.252711,1.252711
229,2079503.80,0.1169,1,1,22.767329,0.782739,0.782739
230,1656109.42,0.1226,1,1,17.886432,0.867390,0.867390
231,1223188.48,0.2872,3,2,23.035511,971.792553,324.113592
